Stock,Real_Close,Predicted_Close
AAPL,212.1092987060547,211.24
TSLA,226.3043975830078,223.27
GOOGL,160.22000122070312,163.32
AMZN,193.2949981689453,194.37
MSFT,383.03070068359375,384.05
